"id","name","code"
"1","Access Bank","044"
"2","Citibank","023"
"3","Diamond Bank","063"
"4","Dynamic Standard Bank",""
"5","Ecobank Nigeria","050"
"6","Fidelity Bank Nigeria","070"
"7","First Bank of Nigeria","011"
"8","First City Monument Bank","214"
"9","Guaranty Trust Bank","058"
"10","Heritage Bank Plc","030"
"11","Jaiz Bank","301"
"12","Keystone Bank Limited","082"
"13","Providus Bank Plc","101"
"14","Polaris Bank","076"
"15","Stanbic IBTC Bank Nigeria Limited","221"
"16","Standard Chartered Bank","068"
"17","Sterling Bank","232"
"18","Suntrust Bank Nigeria Limited","100"
"19","Union Bank of Nigeria","032"
"20","United Bank for Africa","033"
"21","Unity Bank Plc","215"
"22","Wema Bank","035"
"23","Zenith Bank","057"
